"","sp","lon","lat"
"1153","Crossodactylus_gaudichaudii",-40.466667,-20.266667
"1154","Crossodactylus_gaudichaudii",-44.588889,-21.593056
"1155","Crossodactylus_gaudichaudii",-44.6075,-21.5825
"1156","Crossodactylus_gaudichaudii",-44.616389,-21.573611
"1157","Crossodactylus_gaudichaudii",-42.9333,-22.7667
"1158","Crossodactylus_gaudichaudii",-44.606111,-21.609722
"1159","Crossodactylus_gaudichaudii",-42.038913,-22.427595
"1160","Crossodactylus_gaudichaudii",-43.26186,-22.96236
"1161","Crossodactylus_gaudichaudii",-43.450305,-22.921672
"1162","Crossodactylus_gaudichaudii",-43.5529,-23.0321
"1163","Crossodactylus_gaudichaudii",-43.21213,-22.96077
"1164","Crossodactylus_gaudichaudii",-43.482952,-22.94949
"1165","Crossodactylus_gaudichaudii",-43.2075,-22.903056
"1167","Crossodactylus_gaudichaudii",-45.889005,-23.655202
"1168","Crossodactylus_gaudichaudii",-46.340398,-23.772146
"1220","Cycloramphus_acangatan",-46.83931,-23.559825
"1221","Cycloramphus_acangatan",-46.930401,-23.620477
"1222","Cycloramphus_acangatan",-47.250404,-23.680477
"1223","Cycloramphus_acangatan",-47.026276,-24.298467
"1224","Cycloramphus_acangatan",-47.020403,-23.870478
"1225","Cycloramphus_acangatan",-47.01498,-24.321821
"1226","Cycloramphus_acangatan",-47.400405,-23.720476
"1227","Cycloramphus_acangatan",-47.750407,-23.800476
"1228","Cycloramphus_acangatan",-48.400413,-24.250475
"1229","Cycloramphus_acangatan",-48.413297,-24.144008
"1230","Cycloramphus_acangatan",-48.350412,-24.080475
"1231","Cycloramphus_acangatan",-46.48903,-23.729636
"1232","Cycloramphus_acangatan",-46.480399,-23.800479
"1233","Cycloramphus_acangatan",-47.167224,-23.612486
"1234","Cycloramphus_acangatan",-47.792318,-23.751172
"1294","Cycloramphus_eleutherodactylus",-48.770409,-22.180468
"1295","Cycloramphus_eleutherodactylus",-45.580392,-23.700481
"1296","Cycloramphus_eleutherodactylus",-46.420399,-23.850479
"1297","Cycloramphus_eleutherodactylus",-42.970371,-22.530484
"1298","Cycloramphus_eleutherodactylus",-43.050371,-22.470483
"1299","Cycloramphus_eleutherodactylus",-48.580415,-24.580476
"1300","Cycloramphus_eleutherodactylus",-47.470407,-24.320478
"1301","Cycloramphus_eleutherodactylus",-48.83042,-25.470477
"1302","Cycloramphus_eleutherodactylus",-42.520367,-22.270484
"1303","Cycloramphus_eleutherodactylus",-46.7704,-23.500477
"1304","Cycloramphus_eleutherodactylus",-43.500369,-20.280474
"1305","Cycloramphus_eleutherodactylus",-46.420398,-23.700479
"1306","Cycloramphus_eleutherodactylus",-43.430375,-22.900484
"1307","Cycloramphus_eleutherodactylus",-46.300398,-23.770479
"1308","Cycloramphus_eleutherodactylus",-44.780386,-23.320482
"1366","Dendrophryniscus_berthalutzae",-48.317,-25.2874
"1367","Dendrophryniscus_berthalutzae",-48.866667,-25.866667
"1368","Dendrophryniscus_berthalutzae",-48.770417,-25.815251
"1369","Dendrophryniscus_berthalutzae",-49.184847,-27.108169
"1371","Dendrophryniscus_berthalutzae",-48.933333,-26.333333
"1372","Dendrophryniscus_berthalutzae",-48.833333,-26.3
"1373","Dendrophryniscus_berthalutzae",-48.666667,-27.666667
"1374","Dendrophryniscus_berthalutzae",-49.266667,-26.733333
"1375","Dendrophryniscus_berthalutzae",-49.383333,-26.316667
"1376","Dendrophryniscus_berthalutzae",-49.55,-28.466667
"1377","Dendrophryniscus_berthalutzae",-49.4575,-28.5156
"1379","Dendrophryniscus_brevipollicatus",-44.2461,-23.144984
"1380","Dendrophryniscus_brevipollicatus",-44.3233,-22.6836
"1382","Dendrophryniscus_brevipollicatus",-46.142063,-23.748258
"1383","Dendrophryniscus_brevipollicatus",-47.919722,-25.010278
"1384","Dendrophryniscus_brevipollicatus",-47.9667,-25.1333
"1386","Dendrophryniscus_brevipollicatus",-48.34,-24
"1388","Dendrophryniscus_brevipollicatus",-47.0117,-23.7302
"1389","Dendrophryniscus_brevipollicatus",-44.96,-23.07
"1390","Dendrophryniscus_brevipollicatus",-43.6058,-22.4889
"1391","Dendrophryniscus_brevipollicatus",-47.55,-24.7
"1395","Dendrophryniscus_brevipollicatus",-44.489606,-22.441047
"1396","Dendrophryniscus_brevipollicatus",-44.585517,-22.437628
"1398","Dendrophryniscus_brevipollicatus",-43.985118,-23.067013
"1399","Dendrophryniscus_brevipollicatus",-45.44,-23.37
"1400","Dendrophryniscus_brevipollicatus",-43.450833,-22.759444
"1401","Dendrophryniscus_brevipollicatus",-43.42,-22.58
"1402","Dendrophryniscus_brevipollicatus",-44.677904,-23.018135
"1403","Dendrophryniscus_brevipollicatus",-44.707461,-23.146695
"1404","Dendrophryniscus_brevipollicatus",-47.88,-24.71
"1405","Dendrophryniscus_brevipollicatus",-46.9999,-24.2999
"1406","Dendrophryniscus_brevipollicatus",-43.157541,-22.398358
"1407","Dendrophryniscus_brevipollicatus",-47.71,-23.81
"1408","Dendrophryniscus_brevipollicatus",-43.2333,-22.95
"1409","Dendrophryniscus_brevipollicatus",-43.271044,-22.949395
"1410","Dendrophryniscus_brevipollicatus",-43.2075,-22.903056
"1412","Dendrophryniscus_brevipollicatus",-46.3044,-23.7781
"1413","Dendrophryniscus_brevipollicatus",-46.5383,-23.6639
"1414","Dendrophryniscus_brevipollicatus",-46.529722,-23.66
"1415","Dendrophryniscus_brevipollicatus",-46.33,-23.96
"1416","Dendrophryniscus_brevipollicatus",-45.31,-23.22
"1417","Dendrophryniscus_brevipollicatus",-46.63,-23.54
"1420","Dendrophryniscus_brevipollicatus",-47.5,-23.96
"1422","Dendrophryniscus_brevipollicatus",-45.0711,-23.4339
"1432","Dendrophryniscus_leucomystax",-47.968097,-25.134721
"1434","Dendrophryniscus_leucomystax",-48.95,-26.433333
"1435","Dendrophryniscus_leucomystax",-48.367164,-25.232978
"1436","Dendrophryniscus_leucomystax",-47.473018,-24.549515
"1437","Dendrophryniscus_leucomystax",-47.266667,-24.516667
"1438","Dendrophryniscus_leucomystax",-48.533661,-25.789863
"1439","Dendrophryniscus_leucomystax",-48.856364,-25.517977
"1440","Dendrophryniscus_leucomystax",-43.503033,-22.689213
"1441","Dendrophryniscus_leucomystax",-43.407529,-22.561563
"1442","Dendrophryniscus_leucomystax",-47.776836,-24.645038
"1443","Dendrophryniscus_leucomystax",-43.450305,-22.921672
"1444","Dendrophryniscus_leucomystax",-47.9667,-22.561563
"1481","Dendropsophus_anceps",-41.216391,-19.624809
"1482","Dendropsophus_anceps",-40.273333,-19.820278
"1483","Dendropsophus_anceps",-40.17586,-19.766469
"1484","Dendropsophus_anceps",-43.377151,-22.728169
"1485","Dendropsophus_anceps",-48.992974,-22.680619
"1486","Dendropsophus_anceps",-45.713002,-23.102571
"1487","Dendropsophus_anceps",-45.7,-23.1
"1488","Dendropsophus_anceps",-42.728343,-22.515442
"1489","Dendropsophus_anceps",-41.066667,-20.833333
"1490","Dendropsophus_anceps",-42.144796,-22.481539
"1492","Dendropsophus_anceps",-43.299654,-22.630937
"1493","Dendropsophus_anceps",-43.311667,-22.785833
"1494","Dendropsophus_anceps",-50.4031,-23.8492
"1495","Dendropsophus_anceps",-43.183611,-21.523056
"1496","Dendropsophus_anceps",-40.49923,-19.204921
"1497","Dendropsophus_anceps",-39.928756,-16.540555
"1498","Dendropsophus_anceps",-50.1878,-23.8486
"1499","Dendropsophus_anceps",-42.218022,-22.828415
"1500","Dendropsophus_anceps",-39.828457,-14.247758
"1501","Dendropsophus_anceps",-43.775278,-22.852222
"1503","Dendropsophus_anceps",-42.600399,-19.438368
"1504","Dendropsophus_anceps",-49.9694,-23.1606
"1505","Dendropsophus_anceps",-49.9476,-23.149462
"1506","Dendropsophus_anceps",-40.500556,-18.715556
"1507","Dendropsophus_anceps",-48.826425,-22.674007
"1508","Dendropsophus_anceps",-40.072222,-19.391111
"1510","Dendropsophus_anceps",-41.976659,-22.295578
"1511","Dendropsophus_anceps",-43.113071,-22.611979
"1512","Dendropsophus_anceps",-42.817165,-22.914642
"1513","Dendropsophus_anceps",-42.615117,-19.705124
"1514","Dendropsophus_anceps",-42.551706,-19.678756
"1515","Dendropsophus_anceps",-39.789669,-17.423882
"1516","Dendropsophus_anceps",-39.288629,-16.618697
"1517","Dendropsophus_anceps",-39.693567,-15.454338
"1518","Dendropsophus_anceps",-39.661989,-15.903107
"1519","Dendropsophus_anceps",-39.496883,-15.132329
"1520","Dendropsophus_anceps",-49.793752,-23.108246
"1522","Dendropsophus_anceps",-41.946005,-22.454012
"1523","Dendropsophus_anceps",-43.449881,-22.921177
"1524","Dendropsophus_anceps",-43.14337,-21.468739
"1525","Dendropsophus_anceps",-39.734167,-14.138056
"1526","Dendropsophus_anceps",-42.51859,-22.878425
"1527","Dendropsophus_anceps",-43.706425,-22.759648
"1528","Dendropsophus_anceps",-43.7075,-22.7439
"1529","Dendropsophus_anceps",-50.520836,-24.251085
"1530","Dendropsophus_anceps",-39.166284,-15.221175
"1533","Dendropsophus_berthalutzae",-46.134202,-23.845281
"1535","Dendropsophus_berthalutzae",-48.12,-22.28
"1536","Dendropsophus_berthalutzae",-47.92,-25.01
"1538","Dendropsophus_berthalutzae",-40.635372,-19.87743
"1539","Dendropsophus_berthalutzae",-46.419722,-23.89
"1541","Dendropsophus_berthalutzae",-48.327769,-25.304879
"1542","Dendropsophus_berthalutzae",-48.294444,-25.163889
"1543","Dendropsophus_berthalutzae",-47.55,-24.7
"1545","Dendropsophus_berthalutzae",-43.806501,-22.854805
"1546","Dendropsophus_berthalutzae",-40.07,-19.4166
"1547","Dendropsophus_berthalutzae",-43.113071,-22.611979
"1548","Dendropsophus_berthalutzae",-46.188056,-23.523056
"1549","Dendropsophus_berthalutzae",-48.834167,-25.476944
"1550","Dendropsophus_berthalutzae",-48.866667,-25.433333
"1551","Dendropsophus_berthalutzae",-43.4511,-22.7592
"1552","Dendropsophus_berthalutzae",-46.4,-24
"1553","Dendropsophus_berthalutzae",-46.440812,-23.728055
"1554","Dendropsophus_berthalutzae",-46.297416,-23.772547
"1555","Dendropsophus_berthalutzae",-46.529722,-23.66
"1556","Dendropsophus_berthalutzae",-46.291487,-23.870282
"1557","Dendropsophus_berthalutzae",-46.33,-23.96
"1558","Dendropsophus_berthalutzae",-49.2064,-25.5347
"1559","Dendropsophus_berthalutzae",-46.63,-23.54
"1560","Dendropsophus_berthalutzae",-45.021956,-23.380283
"1566","Dendropsophus_bipunctatus",-40.273333,-19.820278
"1567","Dendropsophus_bipunctatus",-41.066667,-20.833333
"1568","Dendropsophus_bipunctatus",-40.416667,-20.266667
"1569","Dendropsophus_bipunctatus",-40.42,-20.263889
"1571","Dendropsophus_bipunctatus",-39.708889,-18.419444
"1572","Dendropsophus_bipunctatus",-40.591667,-20.705556
"1574","Dendropsophus_bipunctatus",-40.511,-20.658
"1575","Dendropsophus_bipunctatus",-43.775278,-22.852222
"1577","Dendropsophus_bipunctatus",-40.833889,-21.011111
"1578","Dendropsophus_bipunctatus",-39.958333,-19.422222
"1579","Dendropsophus_bipunctatus",-40.07,-19.4166
"1580","Dendropsophus_bipunctatus",-39.992778,-19.408056
"1581","Dendropsophus_bipunctatus",-40.071944,-19.391111
"1583","Dendropsophus_bipunctatus",-43.040556,-22.653056
